Year,MU.Name,Location,River.condition.Category,Stream.Name,Affiliation,Collection.Method,Rec.Date,Reach,Rec.Sex,Carc.Cond,Percent.Spawn,POH,Rec.Adipose,Clip.Condition,Pred.Affected,Recovery.Comments,Scalebook.Num,Row.Num,Scale.File,Gilbert.Rich.Age.Scale,European.Age.Scale,Partial.Age.Scale,Otolith.Samples,Otolith.Vial.Num
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-26,4,F,2,100,66.9,P,NA,,,13583,5,ch2016-0328,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-28,4,F,2,100,62,P,NA,,,13567,2,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,F,1,100,69.7,P,NA,,,13599,3,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,F,1,100,67.5,P,NA,,,13573,2,ch2016-0329,,,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-25,6,F,1,100,65.7,P,NA,,,13555,2,ch2016-0328,S2,1F,RS,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-26,4,F,1,100,68.1,P,NA,,,13583,3,ch2016-0328,3M,M3,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-26,5,M,1,NA,72.4,P,NA,,,13595,3,ch2016-0328,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-24,4,F,1,100,71,P,NA,,,13570,5,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-20,4,F,1,0,69.9,P,NA,,,13581,3,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-20,3,M,1,NA,74.1,P,NA,,,13581,2,ch2016-0329,62,1.4,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-26,4,M,1,NA,71.1,P,NA,,,13595,1,ch2016-0328,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,M,1,NA,53.9,P,NA,,,13599,1,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,M,1,NA,76.2,P,NA,,,13452,3,ch2016-0329,S2,1F,RS,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-14,4,F,1,100,65.6,P,NA,,,13560,3,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-26,5,F,1,100,60,P,NA,,,13595,2,ch2016-0328,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,3,M,1,NA,63.1,P,NA,,,13452,1,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-16,4,F,1,100,66,P,NA,,,13599,4,ch2016-0329,2M,M2,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-18,4,F,1,100,68,P,NA,,,13573,1,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-09,6,F,1,100,61.9,P,NA,,,13558,1,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-09,7,F,1,100,63.1,P,NA,,,13558,2,ch2016-0329,42,1.2,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-10,4,F,1,100,65.6,P,NA,,,13558,3,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-12,8,F,1,100,57.5,P,NA,,,13558,4,ch2016-0329,4M,M4,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-12,3,F,1,100,67.3,P,NA,,,13558,5,ch2016-0329,S2,1F,RS,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-12,4,F,1,100,66.1,P,NA,,,13559,1,ch2016-0329,52,1.3,,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-12,4,F,1,100,68.3,P,NA,,,13559,2,ch2016-0329,3M,M3,RG,,
2016,Summer 5sub2,Williams Lake,Large; high Chinook density; multi-species issues,Chilko,DFO,Mark-Recapture,2016-09-12,5,F,1,100,71.6,P,NA,,,13559,3,ch2016-0329,52,1.3,,,
